region,year_month,trends_index
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-05,6.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-06,6.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-07,5.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-08,6.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-09,5.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-10,4.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-11,4.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-12,4.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021-01,3.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021-02,3.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021-03,4.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021-04,5.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021-05,6.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021-06,7.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021-07,8.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021-08,8.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021-09,8.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021-10,7.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021-11,7.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021-12,4.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2022-01,6.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2022-02,6.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2022-03,7.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2022-04,8.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2022-05,7.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2022-06,7.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2022-07,7.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2022-08,7.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2022-09,6.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2022-10,6.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2022-11,8.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2022-12,6.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2023-01,7.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2023-02,7.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2023-03,8.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2023-04,8.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2023-05,9.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2023-06,9.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2023-07,9.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2023-08,9.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2023-09,11.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2023-10,11.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2023-11,8.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2023-12,8.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2024-01,8.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2024-02,8.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2024-03,9.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2024-04,9.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2024-05,9.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2024-06,9.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2024-07,7.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2024-08,8.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2024-09,9.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2024-10,7.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2024-11,8.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2024-12,8.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2025-01,8.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2025-02,8.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2025-03,8.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2025-04,9.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2025-05,9.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2025-06,9.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2025-07,21.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2025-08,100.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2025-09,88.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2025-10,65.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2025-11,91.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2025-12,94.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-01,7.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-02,6.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-03,4.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-04,5.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-05,6.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-06,6.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-07,5.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-08,6.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-09,5.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-10,4.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-11,4.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-12,4.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021-01,3.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021-02,3.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021-03,4.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021-04,5.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021-05,6.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021-06,7.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021-07,8.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021-08,8.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021-09,8.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021-10,7.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021-11,7.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021-12,4.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2022-01,6.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2022-02,6.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2022-03,7.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2022-04,8.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2022-05,7.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2022-06,7.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2022-07,7.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2022-08,7.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2022-09,6.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2022-10,6.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2022-11,8.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2022-12,6.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2023-01,7.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2023-02,7.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2023-03,8.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2023-04,8.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2023-05,9.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2023-06,9.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2023-07,9.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2023-08,9.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2023-09,11.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2023-10,11.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2023-11,8.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2023-12,8.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2024-01,8.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2024-02,8.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2024-03,9.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2024-04,9.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2024-05,9.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2024-06,9.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2024-07,7.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2024-08,8.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2024-09,9.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2024-10,7.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2024-11,8.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2024-12,8.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2025-01,8.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2025-02,8.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2025-03,8.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2025-04,9.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2025-05,9.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2025-06,9.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2025-07,21.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2025-08,100.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2025-09,88.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2025-10,65.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2025-11,91.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2025-12,94.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-01,7.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-02,6.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-03,4.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-04,5.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-05,6.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-06,6.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-07,5.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-08,6.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-09,5.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-10,4.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-11,4.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-12,4.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021-01,3.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021-02,3.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021-03,4.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021-04,5.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021-05,6.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021-06,7.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021-07,8.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021-08,8.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021-09,8.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021-10,7.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021-11,7.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021-12,4.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2022-01,6.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2022-02,6.0
